
product_id,product_type,category,price,sales,region,rating,consumption,purchase_made
1,Solar Panel,Solar,0.50,500,0,4.5,250,1
2,Wind Turbine,Wind,0.80,200,1,4.2,500,1
3,Storage Battery,Battery,0.20,150,2,4.7,100,0
4,Solar Panel,Solar,0.35,300,0,4.9,260,1
5,Wind Turbine,Wind,0.90,120,1,4.3,520,0
6,Solar Panel,Solar,0.32,450,0,4.8,240,1
7,Electric Vehicle,EV,30.00,50,2,4.6,0,1
8,Solar Panel,Solar,0.33,380,1,4.4,230,1
9,Wind Turbine,Wind,0.85,180,0,4.0,510,0
10,Storage Battery,Battery,0.18,200,1,4.3,110,1
